Users,ProductTypeCode,NULL,0
Users,AutomaticLastUpdateDate,NULL,0
ConversationHeaderParticipants,ConversationHeaderId,NULL,0
ConversationHeaderParticipants,ParticipantUserId,NULL,0
InterestReports,CreatedByUserId,NULL,0
InterestReports,UpdatedByUserId,NULL,0
InterestReports,GLAccountId,NULL,0
InterestReports,ARinvoiceId,NULL,0
InterestReports,InterestReportStatusCode,NULL,0
ShipmentOrderPackages,PackageTypeId,NULL,0
ShipmentOrderPackages,ShipmentId,NULL,0
ShipmentOrderPackages,ShipmentId,NULL,0
MessagingStocks,CreatedByUserId,NULL,0
MessagingStocks,UpdatedByUserId,NULL,0
FTPDetails,CreatedByUserId,NULL,0
FTPDetails,UpdatedByUserId,NULL,0
DWSubQueries,DWQueryId,NULL,0
CustomsShippers,Id,NULL,0
AccountingSettings,AccountingSystemCode,NULL,0
AccountingSettings,RegistryDateTypeCode,NULL,0
ExternalReconciliationLines,ReconciliationId,NULL,0
ExternalReconciliationLines,LedgerTransactionId,NULL,0
ExternalReconciliationLines,ExternalPageLineId,NULL,0
ConversationHeaders,CreatedByUserId,NULL,0
ConversationHeaders,ObjectTableId,NULL,0
QuestionnaireAnswerLines,QuestionnaireAnswerId,NULL,0
MAWBStacks,AirlineId,NULL,0
DocumentTypeTemplates,DocumentTypeId,NULL,0
DocumentTypeTemplates,LastUpdatedByUserId,NULL,0
DocumentTypeTemplates,OriginalTemplateId,NULL,0
ExternalReconciliations,GLAccountId,NULL,0
ExternalReconciliations,CreatedByUserId,NULL,0
Correspondences,CreatedByContactId,NULL,0
Correspondences,ObjectTableId,NULL,0
ShipmentPackages,CommodityId,NULL,0
ShipmentPackages,PackageTypeId,NULL,0
ShipmentPackages,ShipmentId,NULL,0
ShipmentPackages,ShipmentId,NULL,0
ShipmentPackages,DeliveryId,NULL,0
ShipmentPackages,EmptyContainerReturnId,NULL,0
ShipmentPackages,TemperatureUnitCode,NULL,0
ShipmentPackages,LastStatusCode,NULL,0
ShipmentPackages,DeliveryTransportModeCode,NULL,0
ShipmentPackages,ECRTransportModeCode,NULL,0
ShipmentPackages,FlashPointTemperatureUnitCode,NULL,0
ShipmentPackages,CountryId,NULL,0
AWBSpecialHandlingCodes,AirlineId,NULL,0
QuestionnaireAnswers,CreatedByUserId,NULL,0
QuestionnaireAnswers,ObjectTableId,NULL,0
QuestionnaireAnswers,QuestioneerId,NULL,0
ShipmentAdditionalCloudDatas,Id,NULL,0
SharedLogisticsContactLastLogins,ContactId,NULL,0
CorrespondencesAttachments,CorrespondenceId,NULL,0
CorrespondencesAttachments,DocumentFilingId,NULL,0
QuestionnaireQuestions,CreatedByUserId,NULL,0
QuestionnaireQuestions,QuestioneerId,NULL,0
QuestionnaireQuestions,UpdatedByUserId,NULL,0
PickUpDeliveryPackageHarmonizes,PackageId,NULL,0
EmailAlertSettings,ObjectTableId,NULL,0
VatTypePercentages,VatTypeId,NULL,0
CounterDefinitions,CounterId,NULL,0
MessagingStockUsageHistories,FirstActionByUserId,NULL,0
MessagingStockUsageHistories,LastActionByUserId,NULL,0
MessagingStockUsageHistories,StockId,NULL,0
Questionnaires,CreatedByUserId,NULL,0
Questionnaires,UpdatedByUserId,NULL,0
MenuButtonGroups,ObjectTableId,NULL,0
PaymentChequeLines,PaymentChequeId,NULL,0
InterestReportLines,InterestTransactionId,NULL,0
InterestReportLines,InterestReportId,NULL,0
AgentSharedManifests,UpdatedByUserId,NULL,0
AgentSharedManifests,FromPortId,NULL,0
AgentSharedManifests,ToPortId,NULL,0
AgentSharedManifests,StatusCode,NULL,0
AgentSharedManifests,ShipmentLevelCode,NULL,0
AgentSharedManifests,AgentId,NULL,0
AgentSharedManifests,ShipmentTypeId,NULL,0
AccountingTransferHeaders,AccountingTransferTypeCode,NULL,0
AccountingTransferHeaders,UserId,NULL,0
ShipmentPayables,CorrectionByUserId,NULL,0
ShipmentPayables,VendorId,NULL,0
ShipmentPayables,ChargesTypeId,NULL,0
ShipmentPayables,CurrencyId,NULL,0
ShipmentPayables,DueTypeCode,NULL,0
ShipmentPayables,MeasurementId,NULL,0
ShipmentPayables,ShipmentPayableLineStatusCode,NULL,0
ShipmentPayables,PrepaidCollectId,NULL,0
ShipmentPayables,ShipmentId,NULL,0
ShipmentPayables,ShipmentPayableParentId,NULL,0
ShipmentPayables,ShipmentPayableAmountTypeCode,NULL,0
ShipmentPayables,CreatedByUserId,NULL,0
ShipmentPayables,UpdateByUserId,NULL,0
ShipmentPayables,IATACodeId,NULL,0
ShipmentPayables,VatTypeId,NULL,0
EmployeeGroupLines,EmployeeGroupId,NULL,0
EmployeeGroupLines,UserId,NULL,0
PaymentCheques,CreatedByUserId,NULL,0
PaymentCheques,UpdatedByUserId,NULL,0
PaymentCheques,PayToGLAccountId,NULL,0
PaymentCheques,BankAccountId,NULL,0
PaymentCheques,BankAccountGLAccountId,NULL,0
PaymentCheques,CurrencyId,NULL,0
PaymentCheques,ApprovedByUserId,NULL,0
PaymentCheques,CancelledByUserId,NULL,0
PaymentCheques,PaymentChequeStatusCode,NULL,0
PaymentCheques,ObjectTableId,NULL,0
PaymentCheques,APPaymentId,NULL,0
ShipmentPackageHarmonize,PackageId,NULL,0
AccountingTransferLines,AccountingTransferHeaderId,NULL,0
MenuButtons,FeatureId,NULL,0
MenuButtons,MenuButtonGroupId,NULL,0
MenuButtons,ParentMenuButtonId,NULL,0
MenuButtons,LabelTextCodeId,NULL,0
Counters,ChangedByUserId,NULL,0
Counters,ObjectTableId,NULL,0
InterestReportLinesByDates,InterestReportId,NULL,0
SharedManifestTranslations,CreatedByUserId,NULL,0
SharedManifestTranslations,UpdatedByUserId,NULL,0
QueueMessageMoreDetails,Field1,NULL,0
QueueMessageMoreDetails,Field2,NULL,0
QueueMessageMoreDetails,CreateDateTime,NULL,0
QueueMessageMoreDetails,QueueDefinitionCode,NULL,0
QueueMessageMoreDetails,CreateDateTime,NULL,0
EmployeeGroups,CreatedByUserId,NULL,0
EmployeeGroups,ManagerUserId,NULL,0
EmployeeGroups,UpdatedByUserId,NULL,0
BankAccounts,BankId,NULL,0
BankAccounts,CreatedByUserId,NULL,0
BankAccounts,DeferredGLAccountId,NULL,0
BankAccounts,GLAccountId,NULL,0
BankAccounts,UpdatedByUserId,NULL,0
BankAccounts,TransferGLAcccountId,NULL,0
BankAccounts,CurrencyId,NULL,0
ChargesExternalAccountsByProducts,ChargesTypeId,NULL,0
ChargesExternalAccountsByProducts,ProductTypeCode,NULL,0
ChargesExternalAccountsByProducts,UpdatedByUserId,NULL,0
HybridPartnersPermissions,AllowedByHybridPartnerId,NULL,0
CounterStats,CounterId,NULL,0
ShipmentPickUpDeliveries,CarrierId,NULL,0
ShipmentPickUpDeliveries,EmptyPickupContainerPartnerId,NULL,0
ShipmentPickUpDeliveries,FromAddressId,NULL,0
ShipmentPickUpDeliveries,FromPortId,NULL,0
ShipmentPickUpDeliveries,FromPartnerCardId,NULL,0
ShipmentPickUpDeliveries,ToPartnerCardId,NULL,0
ShipmentPickUpDeliveries,PickUpDeliveryFromTypeCode,NULL,0
ShipmentPickUpDeliveries,PickUpDeliveryToTypeCode,NULL,0
ShipmentPickUpDeliveries,PickUpDeliveryTypeCode,NULL,0
