 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
2034,Consignment,4,D024 ,0..1,,לא לרוונטי לפי מייל מיום 7/8/11,,M,לא צריך,,"Transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.TransportContractDocument.TypeCode,"
קוד סוג מסמך שטר מטען","קודים לשט""מ ימי: 705, 714, 704
קודים לשט""מ אוירי: 740, 703, 741 
קודים לשט""מ יבשתי: אין. לא רלבנטי","שטר מטען  רגיל, או שטר מטען פנימי
שכפול של 723
",,צריך
2031,Consignment,4,D023 ,0..1,,העתקה מלאה-חובה במקרה של משלח ימי,שטר מטען אב- רשומה B - פוז'135-150,C,העתקה מלאה,מספר שטר מטען אב,Transport document number,ID,         ID,Declaration.Consignment.TransportContractDocument.ID,מזהה שטר מטען אב,,שכפול של 720,,צריך
2035,Consignment,4,D024 ,0..1,,לא לרוונטי לפי מייל מיום 7/8/11,,M,לא צריך,,"Transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.TransportContractDocument.TypeCode,קוד סוג מסמך שטר מטען אב,,"שטר מטען  אב
שכפול של 723",,צריך
2032,Consignment,4,D023 ,0..1,,חובה במקרה של פיצול/איחוד עסקאות,מספר עסקה חדש- רשומה C- פוז' 036-051,C,העתקה מלאה,מספר עסקה,Transport document number,ID,         ID,Declaration.Consignment.TransportContractDocument.ID,מספר עסקה,,"מספר עסקה

שכפול של 720",,צריך
2036,Consignment,4,D024 ,0..1,,לא לרוונטי לפי מייל מיום 7/8/11,,M,לא צריך,,"Transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.TransportContractDocument.TypeCode,קוד סוג מסמך מספר עסקה,,"קודים: IL1 בעסקה ימית, IL3 בעסקה יבשתית, ILH בעסקת מכולות ריקות
שכפול של 723",,צריך
2033,Consignment,4,D023 ,0..1,,חובה במקרה של משלח ימי,מזהה עסקת אב- רשומה B- פוז' 135-150,O,העתקה מלאה,מספר עסקת אב,Transport document number,ID,         ID,Declaration.Consignment.TransportContractDocument.ID,מספר עסקת אב,,"מספר עסקת אב
שכפול של 720",,צריך
2037,Consignment,4,D024 ,0..1,,לא לרוונטי לפי מייל מיום 7/8/11,,M,לא צריך,,"Transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.TransportContractDocument.TypeCode,קוד סוג מסמך מספר עסקת אב,,"בעסקת אב, גם ימי וגם יבשתי   IL2 
שכפול של 723",,צריך
721,Consignment,4,D021 ,0..1,,מקום הצאת שטר המטען-טקסט חופשי,,O,לא להסבה,, ,IssueLocation,         IssueLocation,Declaration.Consignment.TransportContractDocument.IssueLocation,כותרת מקום הנפקת המסמך,,,,צריך
724,Consignment,4,43A,0..*,,לא לרוונטי לפי מייל מיום 7/8/11,,O,לא צריך,,,Deconsolidator,         Deconsolidator,,פרטי משלח,,סוכן אוניה ידווח מי המשלח שאחראי על המכולה במקרה של קונסדיליזציה,"המשלח יהיה ידוע בעיסקת הבן וגם היא עוברת הערכת סיכונים והמשלח הוא ה-submiter ולכן לא צריך את השדה הנ""ל.",לא צריך
725,Consignment,5,R023 ,0..1,,לא לרוונטי לפי מייל מיום 7/8/11,מספר משלח- רשומה 3- פוז' 180-182,M,בטבלת סוכני אנייה שליפת ח.פ משלח לפי קוד משלח,,"Deconsolidator, coded",ID,            ID,Declaration.Consignment.TransportContractDocument.Deconsolidator.ID,מספר מזהה משלח,,קוד מטבלת משלחים. במקרה של קונסולידציה. אמור להיות הנשגר,,צריך
791,Consignment,3,37B,0..*,,,,,H,,,UNDGContact,      UNDGContact,Declaration.Consignment.UNDGContact,כותרת פרטי קשר חומרים מסוכנים,,פרטי איש קשר לטיפול בחומרים מסוכנים,,צריך
792,Consignment,4,R047 ,0..1,,"שם חברה במקרה של חומ""ס. חובה במקרה של חומ""ס",,C,לא ניתן,,Dangerous goods contact,Name,         Name,Declaration.Consignment.UNDGContact.Name,שם החברה,,שם החברה של איש קשר לחומרים מסוכנים,,צריך
800,Consignment,4,25A,0..*,,,,,H,,,Communication,         Communication,Declaration.Consignment.UNDGContact.Communication,כותרת פרטי אמצעי קשר,,פרטי קשר של החברה,,צריך
801,Consignment,5,240 ,0..1,,מספר אמצעי קשר. חובה במקרה של מטען מסוכן,,C,לא ניתן,,Communication number,ID,            ID,Declaration.Consignment.UNDGContact.Communication.ID,מספר אמצעי קשר, ,,,צריך
802,Consignment,5,253,0..1,,סוג אמצעי קשר במקרה של מטען מסוכן-טבלת EDIFACT3155,,C,לא ניתן,,Communication number type,TypeID,            TypeID,Declaration.Consignment.UNDGContact.Communication.TypeID,קוד סוג אמצעי קשר,"קוד אמצעי קשר: TE נייח, AL נייד, FX פקס, EM דוא""ל, AH אתר אינטרנט",,,צריך
803,Consignment,4,34A,0..*,,,,,H,,,contact,         contact,Declaration.Consignment.UNDGContact.contact,כותרת פרטי איש קשר,,,,צריך
804,Consignment,5,246 ,0..1,,"שם איש קשר במקרה של חומ""ס. חובה במקרה של חומ""ס",,C,לא צריך,,Department or employee  contact name,Name,            Name,Declaration.Consignment.UNDGContact.contact.Name,שם איש קשר,,שם איש קשר,,צריך
805,Consignment,5,25A,0..*,,,,,H,,,Communication,            Communication,Declaration.Consignment.UNDGContact.contact.Communication,כותרת פרטי אמצעי קשר,,טלפון של איש קשר ,,צריך
806,Consignment,6,240 ,0..1,,,,O,לא צריך,,Communication number,ID,               ID,Declaration.Consignment.UNDGContact.Communication.ID,מספר אמצעי קשר,,לדוגמא: מספר טלפון סלולרי של איש הקשר,,צריך
807,Consignment,6,253,0..1,,טבלת EDIFACT3155,,O,לא צריך,,Communication number type,TypeID,               TypeID,Declaration.Consignment.UNDGContact.contact.Communication.TypeID,קוד סוג אמצעי קשר,"קוד אמצעי קשר: TE נייח, AL נייד, FX פקס, EM דוא""ל, AH אתר אינטרנט",לדוגמא: טלפון סלולרי,,צריך
808,Consignment,3,38B,0..*,,,,,H,,,UnloadingLocation,      UnloadingLocation,Declaration.Consignment.UnloadingLocation,כותרת נתוני אתר פריקה,,קוד מטבלת LOCODE של האתר בו יפרקו הטובין,,צריך
809,Consignment,4,173 ,0..1,,תאריך הגעה משוער של המטען. חובה כאשר האנייה פורקת בשני נמלים תחת אותו מצהר,,C,לא ניתן,,Date of arrival at place of discharge,ArrivalDateTime,         ArrivalDateTime,Declaration.Consignment.UnloadingLocation.ArrivalDateTime,תאריך הגעה משוער (רמת המטען),,"תאריך הגעה משוער ברמת המטען 
",,צריך
810,Consignment,4,L013 ,0..1,,,נמל פריקה-רשומה 3-פוז' 053-057  ,M,העתקה מלאה- נמל פריקה,נמל פריקה  ,"Place of discharge, coded",ID,         ID,Declaration.Consignment.UnloadingLocation.ID,אתר פריקה,,,,צריך
328,ConsignmentItem,3,29A,1..*,,,,,H,,,ConsignmentItem,      ConsignmentItem,Declaration.Consignment.ConsignmentItem,כותרת פרטי שורה במטען,,חובה לפחות שורה אחת במטען,,צריך
329,ConsignmentItem,4,094 ,0..1,,,קוד סיכון-רשומה 3 - פוז' 058-058,M,העתקה מלאה,קוד סיכון,Goods status code,GoodsStatusCode,         GoodsStatusCode,Declaration.Consignment.ConsignmentItem.GoodsStatusCode,קוד מטען מסוכן,סטאטוס המטען - משמש עבור דיווח מטען מסוכן,"אינדקציה האם חומר מסוכן או לא
השדה קוד סיכון - אינדיקציה האם מדובר במטען המכיל חומרים מסוכנים  (מסוכן/לא מסוכן)   
באווירי - Restricted  - R  או ריק , בימי - D מסוכן , N - לא מסוכן. ","שדה חובה
D- מסוכן
N - לא מסוכן",צריך
330,ConsignmentItem,4,006 ,0..1,,לא חובה בדיווח מצהר מלא ומכולות ריקות (שונה לחובה במצהר מלא),סידורי בעיסקה-רשומה 3- פוז' 164-166,C,העתקה מלאה,סידורי בעיסקה,Sequence number,SequenceNumeric,         SequenceNumeric,Declaration.Consignment.ConsignmentItem.SequenceNumeric,מס' סידורי במטען,"השדה מוגדר n..5 ,  אך בשל אילוצים מול מערכות אחרות מותר לשלוח n..3 בלבד ",,,צריך
374,ConsignmentItem,4,03A,0..*,,,,,H,,,AdditionalInformation,         AdditionalInformation,Declaration.Consignment.ConsignmentItem.AdditionalInformation,כותרת פרטי מידע נוסף לשורה במטען,,"משמש לדיווח שדות נדרשים שאין להם שדה מוגדר . מורכב מסוג נתון והערך.
",,צריך
375,ConsignmentItem,5,105,0..1,,,,O,"שדה רב מופעי. העתקה מלאה של מספר סידורי בעסקה ישן-רשומה C- פוז' 032-035 . העתקה מלאה של מספר עסקה ישן-רשומה C- פוז' 016-031 .  העתקה מלאה של ערך ב-קו אחסון- רשומה 3 - פוז' 183-184 .העתקה מלאה של ערך ב-משקל טרה בק""ג - רשומה 3 - פוז' 040-047",,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,ערך נתון,,,,צריך
377,ConsignmentItem,5,226 ,1,,,,M,ראה סודר 379,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementCode,קוד ערך נתון ,,"ישמש עבור:
שידור מספר יבואן
קוד סיבת תיקון/ביטול - change reason code
ישמש גם עבור פיצול ואיחוד עיסקאות. פיצול עיסקאות - ישדרו כאן נתוני עיסקה וסידורי מקוריים שמהם נוצרה העיסקה החדשה.
כנ""ל באיחוד 
מצהר ימי - 
מספר סידורי במטען אב,
מספר מטען/עיסקת אב,
קוד אחסון,

סוג טיפול - ע""פ עבודה שנעשת ע""י איציק בן עוזר מחנ""י אין צורך בשדה הנ""ל במסר

מצהר אווירי-
סוג מסירה, - מסירה ישירה לא רלוונטי למצהר אווירי

מצהר יבשתי -
אינדקציית חניית לילה (כן/לא)
אין מסירה ישירה (בהגדרה, גם גופה במעבר גבול אין רשימון ואין מסירה ישירה)",,צריך
379,ConsignmentItem,5,369 ,1,,,,C,"שדה רב מופעי. אם התקבלה רשומה C יש ליצר רשומה עם קוד 12 . אם התקבל ערך ב-מספר סידורי בעסקה ישן-רשומה C- פוז' 032-035 יש להכניס קבוע = 6 . אם התקבל ערך ב-מספר עסקה ישן-רשומה C- פוז' 016-031 יש להכניס קבוע = 7.  אם התקבל ערך ב-קו אחסון- רשומה 3 - פוז' 183-184 יש להכניס קבוע =8 .אם התקבל ערך ב-משקל טרה בק""ג - רשומה 3 - פוז' 040-047 יש להכניס קבוע =10",,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד סוג הנתון,סוג שדה של  226 = WCOID ,"אחד מהערכים יהיה:
change reason code ",,צריך
2011,ConsignmentItem,5,105,1,,,,C,,,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,מספר סידורי בעסקת אב/עסקת מקור,ParentConsignmentItemID,"מזהה סידורי עסקת מקור/עסקת אב
שכפול של 375",,צריך
2012,ConsignmentItem,5,369 ,1,,,,C,ראה סודר 379,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד מספר סידורי בעסקת אב/מקור,קוד מספר סידורי בעסקת אב/מקור = 6,שכפול של 379,,צריך
2013,ConsignmentItem,5,105,1,,"חובה בעת דיווח על פיצול/איחוד עסקה- כאשר בשדה StatementTypeCode יופיע ערך=7 , תכולת השדה הנ""ל הינה מעסקת אב",מספר עסקה ישן-רשומה C- פוז' 016-031,C,ראה סודר 375,"עסקת מקור
רשומה C",Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,מספר עסקת מקור,ParentConsignmentID,"מזהה עסקת מקור
שכפול של 375",,צריך
2014,ConsignmentItem,5,369 ,1,,"חובה בעת דיווח על פיצול/איחוד עסקה. כאשר יופיע ערך=7 , תכולת השדה Content הינה עסקת אב",,C,ראה סודר 379,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד מספר עסקת מקור,קוד מספר עסקת מקור = 7,שכפול של 379,,צריך
2015,ConsignmentItem,5,105,1,,"כאשר שדה:StatementTypeCode=8 , חייב להיות קוד בן 2 תווים המציין את הקו של סוכן האנייה. רלוונטי בעיקר למכולות ריקות ומלאות ",קו אחסון- רשומה 3 - פוז' 183-184,O,ראה סודר 375,קו אחסון,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,קו אחסון,StorageLine,שכפול של 375,,צריך
2016,ConsignmentItem,5,369 ,1,,"ערך=8 , אומר כי תכולת השדה Content הינה קו איחסון",קו אחסון- רשומה 3 - פוז' 183-184,O,ראה סודר 379,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד קו אחסון,קוד קו אחסון = 8,שכפול של 379,,צריך
2017,ConsignmentItem,5,105,1,,לא רלוונטי למצהר ימי,,,לא צריך,,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,חניית לילה/פריקת לילה,NightParkingIndicator ,"אינדקציית חניית לילה (כן/לא)
שכפול של 375",,לא צריך
2018,ConsignmentItem,5,369 ,1,,לא רלוונטי למצהר ימי,,,לא צריך,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד חניית לילה/פריקת לילה,קוד חניית לילה = 9,שכפול של 379,,לא צריך
2019,ConsignmentItem,5,105,1,,"העתקה מלאה כאשר שדה:StatementTypeCode=10 , בשדה זה יופיע משקל הטרה של המכולה בק""ג- חובה באריזה מסוג מכולה","משקל טרה בק""ג - רשומה 3 - פוז' 040-047",C,ראה סודר 375,,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,משקל טרה,TeraWheight,"משקל  טרה (משקל של ציוד הובלה)

יהיה בגרסה WCO של ספטמבר

TeraWheight
שכפול של 375","לא מעניין את המכס , המלצה לוותר על השדה , לאשר מול הנמלים",צריך
2020,ConsignmentItem,5,369 ,1,,"כאשר יופיע ערך=10 , תכולת השדה Content הינה משקל טרה-משקל ציוד ההובלה- חובה רק למכולות",קוד אריזה- רשומה 3 - פוז' 063-064,C,ראה סודר 379,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד משקל טרה,קוד משקל טרה =10,שכפול של 379,,צריך
2021,ConsignmentItem,5,105,1,,"כאשר שדה:StatementTypeCode=11 , תופיע אינד' (Y/N) להפעלת ציוד קרור",,O,לא צריך,,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,אינדקציה האם מופעל קירור לציוד הובלה של קירור,CoolingIndicator ,"קוד קירור (כן/לא)  
רלוונטי אם ציוד הובלה הוא קירור
שכפול של 375
CoolingIndicator ",,צריך
2022,ConsignmentItem,5,369 ,1,,"כאשר יופיע ערך=11 , תכולת השדה Content הינה אינד' להפעלת ציוד קרור",,O,לא צריך,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד אינדקציה האם מופעל קירור לציוד הובלה של קירור,קוד אינדקציה האם מופעל קירור לציוד הובלה של קירור= 11,שכפול של 379,,צריך
2027,ConsignmentItem,5,105,1,,,,,,,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,מאפיין אגרה למטען ימי,fee,מאפיין אגרה למטען ימי,,צריך
2028,ConsignmentItem,5,369 ,1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד סוג נתון מאפיין אגרה למטען ימי,מאפיין אגרה = 18,קוד סוג נתון מאפיין אגרה למטען ימי,,צריך
2043,ConsignmentItem,5,105,1,,"ישירה / עקיפה
קיים אם לא מדובר במטען/מכולת שטעון.
D – עבור מסירה ישירה.
I  – עבורה מסירה עקיפה - אחסון בנמל.",,O,צריך,סוג מסירה ישירה/עקיפה,Free text,Content,            Content,Declaration.Consignment.ConsignmentItem.AdditionalInformation.Content,מסירה ישירה,DirectDelivery,"מסירה ישירה = D  ,
אחרת I  או ריק (מסירה עקיפה)
רלוונטי רק למטעני יבוא , לא רלוונטי למטעני שטעון",,צריך
2044,ConsignmentItem,5,369 ,1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.ConsignmentItem.AdditionalInformation.StatementTypeCode,קוד סוג נתון מסירה ישירה  21,,,,צריך
2049,ConsignmentItem,5,105,1,,,,,,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,פארמה (מכולת קירור של תרופות),רלוונטי למצהר ימי בלבד,אינדקציית פארמה (מכולת קירור של תרופות),,צריך
2050,ConsignmentItem,5,369 ,1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג נתון 23 אינדקציית פארמה מכולת תרופות  ,קוד סוג נתון 23 אינדקציית פארמה מכולת תרופות  ,קוד סוג נתון 23 אינדקציית פארמה מכולת תרופות  ,,צריך
398,ConsignmentItem,4,23A,1,,,,,H,,,Commodity,         Commodity,Declaration.Consignment.ConsignmentItem.Commodity,כותרת פרטי סחורות בשורת מטען,,חד מופעי,,צריך
399,ConsignmentItem,5,138 ,0..1,,העתקה מלאה-תאור מטען מקוצר לפי תקן ארופאי,"תאור המטען- רשומה 9 - פוז' 016-157, רשומה 4- פוז' 016-190",M,העתקה מלאה - שרשור תוכן שדה ברשומה 9 לתוכן שדה ברשומה 4,תאור טובין,Brief cargo description,CargoDescription,            CargoDescription,Declaration.Consignment.ConsignmentItem.Commodity.CargoDescription,תאור מטען,,תיאור מקוצר לפי תקן אירופאי,חובה,צריך
400,ConsignmentItem,5,328 ,0..1,,לא צריך,,O,לא להסבה,,Commodity category,CategoryCode,            CategoryCode,Declaration.Consignment.ConsignmentItem.Commodity.CategoryCode,קוד קטגורית סיווג,,קבוצת סיווג עבור גופים נוספים,לא חובה,לא צריך
401,ConsignmentItem,5,329 ,0..1,,לא רלוונטי למצהר ימי לפי מייל מ-7/8/11,,O,לא להסבה,,Commodity category qualifier,CategoryQualifierCode,            CategoryQualifierCode,Declaration.Consignment.ConsignmentItem.Commodity.CategoryQualifierCode, סיווג קטגוריית מטען,,קבוצת סיווג עבור גופים נוספים,לא חובה,לא צריך
405,ConsignmentItem,5,147 ,0..1,,שדה חובה כאשר סוג האריזה הינו כלי רכב למינהם.- השדה יכיל את מספר השילדה או מספר אחר של כלי הרכב,,C,לא להסבה,,Identity number,ID,            ID,Declaration.Consignment.ConsignmentItem.Commodity.ID,מספר מזהה של המטען /סחורה,,"ישמש עבור מזהה מטען 
לדגומא עבור רכב מספר השילדה ",,צריך
406,ConsignmentItem,5,338 ,0..1,,לא רלוונטי למצהר ימי לפי מייל מ-7/8/11,,O,לא צריך,,Ballast or cargo type,IDTypeCode,            IDTypeCode,Declaration.Consignment.ConsignmentItem.Commodity.IDTypeCode,"סוג מזהה המטען/סחורה
מטען כללי או מומכל",,"קשור ל- 257 WCOID שירד מהמסר ולכן גם השדה הנ""ל ירד מהמסר",,לא צריך
407,ConsignmentItem,5,347 ,0..1,,חובה כשסוג האריזה= כלי רכב. קוד קבוע המזהה כי מדובר במספר שילדה,,C,לא ניתן,,Identity number qualifier,IdentityQualifierCode,            IdentityQualifierCode,Declaration.Consignment.ConsignmentItem.Commodity.IdentityQualifierCode,קוד סוג מספר מזהה הסחורה. חובה אם מופיע שדה WCOID= 147,,"קשור ל -WCOID= 147, בשלב זה יש סוג אחד רלוונטי מספר שילדה עבור רכבים",,צריך
413,ConsignmentItem,5,21A,0..*,,,,,H,,,Classification,            Classification,Declaration.Consignment.ConsignmentItem.Commodity.Classification,כותרת פרטי סיווג מטען,,,,צריך
414,ConsignmentItem,6,145 ,0..1,,קוד UN -אם בשדה: ConsignmentItem.GoodsStatusCode מופיע הערך D . אחרת יופיע מספר פרט המכס 6 ספרות,"אם קוד או""ם (רשומה 3 -פוז' 059-062 ). אם סיווג טובין (רשומה 9-פוז' 158-163)","C לקוד או""ם כאשר מטען מסוכן  ו- M עבור פרט מכס","העתקה מלאה של קוד או""ם או פרט המכס","קוד או""ם , סיווג טובין",Commodity classification, ID,                ID,Declaration.Consignment.ConsignmentItem.Commodity.Classification.ID,סיווג הסחורה במטען,"חובה לדווח  לפחות מופע אחד - עבור סיווג של פרט המכס.
שאר המופעים הם רשות או מותנים כאשר מדובר על חומר מסוכן
(על פי אינדיקציה בסודר 329). ","להשתמש  בערך SSO  לקוד או""ם  ולקוד HS לסיווג סחורות ( 4-6 ספרות )",,צריך
415,ConsignmentItem,6,337 ,0..1,,סוג הסייוג בו משתמשים לשדה:Classification.ID לפי טבלת EDIFACT7143 .לדוגמה: SSM-קוד UN או HS לפרט מכס,,"C לקוד או""ם כאשר מטען מסוכן  ו- M עבור פרט מכס",ערך קבוע=SSO אם יש קוד אום.   ערך קבוע = HS לסיווג פרט מכס,"קוד או""ם , סיווג טובין",Ballast or cargo type, IdentificationTypeCode,                IdentificationTypeCode,Declaration.Consignment.ConsignmentItem.Commodity.Classification.IdentificationTypeCode,קוד סוג סיווג,"חובה רק במופע אחד - עבור סיווג של פרט המכס. שאר הנתונים מותנים כאשר החומר מסוכן 
(אינדיקציה בסודר 329).","לפי טבלה:
SSO  = קוד או""ם , 
HS = קוד לסיווג מכס 
",,צריך
416,ConsignmentItem,5,24A,0..*,,,,,H,,,CommodityRelatedPackaging,            CommodityRelatedPackaging,Declaration.Consignment.ConsignmentItem.Commodity.CommodityRelatedPackaging,כותרת פרטי אריזות לטובין במטען,,,,צריך
417,ConsignmentItem,6,341 ,0..1,,"העתקה מלאה- חובה בדיווח חומ""ס. הצרוף של קב' סיכון+רמת סיכון חייב להופיע בטבלה A18.",רמת סיכון - רשומה 3 -(פוז' 168 -168 ),C,העתקה מלאה,רמת סיכון,Commodity dangerous goods packing group code, DangerousGoodsPackingReq,                DangerousGoodsPackingReq,Declaration.Consignment.ConsignmentItem.Commodity.CommodityRelatedPackaging.DangerousGoodsPackingReq,קוד קבוצת אריזה נדרשת לחומר מסוכן,,"
קוד קבוצת אריזה של חומר מסוכן
47  - רמה   I 
48 -  רמה   II 
49  -  רמה  III 
",קבוצת הנתונים בנושא חומרים מסוכנים באווירי הם ברמת המטען  Consignment,צריך
422,ConsignmentItem,5,20B,0..*,,,,,H,,,Temperature,            Temperature,Declaration.Consignment.ConsignmentItem.Commodity.Temperature,כותרת טמפרטורה,,,,צריך
423,ConsignmentItem,6,388 ,0..1,,"טמפרטורת התלקחות במקרה של חומ""ס",,O,לא להסבה,,Flashpoint temperature,FlashpointMeasure,               FlashpointMeasure,Declaration.Consignment.ConsignmentItem.Commodity.Temperature.FlashpointMeasure,טמפרטורת התלקחות,,האם נדרש לחומרים מסוכנים,,צריך
424,ConsignmentItem,6,321 ,0..1,,טווח טמפ' דרוש לאיחסון המטען (מקס/מינ/מסויימת),,O,לא להסבה,,Storage temperature requirement,StorageRequirementMeasure,               StorageRequirementMeasure,Declaration.Consignment.ConsignmentItem.Commodity.Temperature.StorageRequirementMeasure,טווח או טמפרטורה נדרש לאחסון המטען,,"ניתן להזין טווח או טמפרטורה אין קוד
קוד קירור ?",,צריך
429,ConsignmentItem,4,65A,0..*,,,,,H,,,GoodsMeasure,         GoodsMeasure,Declaration.Consignment.ConsignmentItem.GoodsMeasure,כותרת פרטי מידות ומשקלים למטען,,חטיבה חד פעמית,,צריך
430,ConsignmentItem,5,126 ,0..1,,משקל ברוטו (משקל מטען+אריזה),משקל טרה-רשומה 3-פוז' 040-047 + משקל נטו-רשומה 3-פוז' 032-039,M,סכום הערכים ברשומה 3 פוז' 032-039 עם פוז' 040-047,משקל ברוטו,Gross weight item level,GrossMassMeasure,            GrossMassMeasure,Declaration.Consignment.ConsignmentItem.GoodsMeasure.GrossMassMeasure,משקל מטען ,,"משקל המטען כולל אריזה בק""ג  וללא משקל ציוד ההובלה",בהנחה ש- Commodity  יהיה מופע אחד ,צריך
431,ConsignmentItem,4,70A,0..*,,,,,H,,,GovernmentProcedure,         GovernmentProcedure,Declaration.Consignment.ConsignmentItem.GovernmentProcedure,כותרת פרטי תהליך ממשלתי,,חד מופעי,,צריך
432,ConsignmentItem,5,166 ,0..1,,,סוג טיפול- תרגום לפי מסמך איציק- רשומה 3 (פוז' 091-092),M,"תנאי- אם רשומה 3 (פוז' 091-092) < 50 וגם שונה מ-8,27,21,22,25 אז קבוע=4000000 (יבוא), אחרת , קבוע = 8000000 (שטעון)",סוג טיפול,#N/A,CurrentCode,            CurrentCode,Declaration.Consignment.ConsignmentItem.GovernmentProcedure.CurrentCode,קוד סוג תהליך,"מבנה סוג תהליך
xxyyzzz
xx - תהליך נוכחי
yy - תהליך קודם
zzz - קוד פנימי
","סוג התהליך המכסי 
קוד תהליך לפי אמנת 
קיוטו
יבוא - Direct Import for Home Use = 4000000
  שטעון - Transit=8000000",,צריך
436,ConsignmentItem,4,93A,0..*,,,,,H,,,Packaging,         Packaging,Declaration.Consignment.ConsignmentItem.Packaging,כותרת פרטי אריזות משנה למטען,"בימי ויבשתי, חובה חטיבה זו או חטיבת   TransportEquipment  , או את שתיהן.
באווירי , חובה חטיבה זו, וחטיבה   TransportEquipment הינה רשות","נגררת נתוני אריזות משנה
בימי ויבשתי, חובה חטיבה זו  (Packaging  ) או חטיבת   TransportEquipment  , או את שתיהן.
באווירי , חובה חטיבה זו (Packaging ) , וחטיבה   TransportEquipment הינה רשות",בהנחה ש- Commodity  יהיה מופע אחד ,צריך
437,ConsignmentItem,5,142 ,0..1,,העתקה מלאה של סימנים ומספרים,סימנים ומספרים- רשומה 5-פוז' 016-135,O,העתקה מלאה,סימנים ומספרים,Shipping marks,MarksNumbers,            MarksNumbers,Declaration.Consignment.ConsignmentItem.Packaging.MarksNumbers,סימנים ומספרים,,,,צריך
438,ConsignmentItem,5,144 ,0..1,,כמות האריזות כולל אריזות בתוך המכולה  ,כמות אריזות-אריזות משניות-רשומה 5(פוז' 138-146),M,העתקה מלאה ,כמות אריזות,Number of packages,QuantityQuantity,            QuantityQuantity,Declaration.Consignment.ConsignmentItem.Packaging.QuantityQuantity,כמות אריזות,,"מציין את כמות האריזות בתוך ציוד ההובלה או כמות האריזות של המטען עצמו.
לדגומא פירוט כמות האריזות בתוך המכולה 
בהתאם למוגדר ב- WCO.
המידע חשוב מאוד למכס , בעיסקאות של יבשתי - המידע אמור להיות אצל המשלח.",,צריך
439,ConsignmentItem,5,141 ,0..1,,סוג אריזה לפי טבלה UNCE21       ,קוד אריזה- רשומה 3 - פוז' 063-064,M,המרה לפי טבלת קודי אריזה קיימים (C01)למבנה החדש - לפי הערך בעמודה: WCO PKG TP,סוג אריזה ,"Type of packages identification, coded",TypeCode,            TypeCode,Declaration.Consignment.ConsignmentItem.Packaging.TypeCode,קוד סוג אריזה,,,,צריך
482,ConsignmentItem,4,31B,0..*,,,,,H,,,TransportEquipment,         TransportEquipment,Declaration.Consignment.ConsignmentItem.TransportEquipment,כותרת פרטי ציוד הובלה,"בימי ויבשתי, חובה חטיבה Packaging  או חטיבת   TransportEquipment  , או את שתיהן.
באווירי , חובה חטיבה  Packaging וחטיבה   TransportEquipment הינה רשות
בעסקת ריקון, חטיבה זו הינה חובה למשלח ימי","קיים בשתי רמות ברמת המטען וברמת שורה במטען .
הוחלט להשתמש ברמת שורה במטען
היכן שחובת ההזנה מותנית, התנאי הוא שחובה חטיבה זו או חטיבת Packaging",,צריך
