 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
318,Consignment,5,239 ,0..1,"בכל נושא הכתובות ( יבואן, ספק, מיודע) ההעברה צריכה להיות לשדה רחוב ומספר שהוא טקסטואלי וחובה בכולם",,רחוב ומס' בית או ת.ד דואר- רשומה 6- פוז' 051-080,M,העתקה מלאה,כתובת הנשגר,Street and number/P.O. Box,Line,            Line,Declaration.Consignment.Consignee.Address.Line,כתובת הנשגר,במקרה שהכתובת לא מפורמטת יש לשדר בשדה זה את כל הכתובת כפי שרשומה בשטור מטען,"רחוב ומספר בית או תיבת דואר.
במקרה שהכתובת לא מפורמטת יש לשדר בשדה זה את כל הכתובת כפי שרשומה בשטר מטען",יש לקלוט,צריך
319,Consignment,5,245 ,0..1,,,מיקוד- רשומה 6- פוז' 091-096,O,העתקה מלאה,כתובת הנשגר,Postcode identification,PostcodeID,            PostcodeID,Declaration.Consignment.Consignee.Address.PostcodeID,מיקוד,,מיקוד,יש לקלוט,צריך
320,Consignment,4,25A,0..*,,,,,H,,,Communication,         Communication,Declaration.Consignment.Consignee.Address.Communication,כותרת אמצעי קשר,,,יש לקלוט,צריך
321,Consignment,5,240 ,0..1,,,טלפון הנשגר-רשומה 6- פוז' 109-120,O,העתקה מלאה,,Communication number,ID,            ID,Declaration.Consignment.Consignee.Address.Communication.ID,זיהוי אמצעי קשר,,"מספר פקס, טלפון, דוא""ל וכו'",יש לקלוט,צריך
322,Consignment,5,253 ,0..1,,לא רלוונטי למצהר ימי,,O,לא להסבה,,Agent quality assurance indicator,TypeID,            TypeID,Declaration.Consignment.Consignee.Address.Communication.TypeID,סוג אמצעי קשר,"קוד אמצעי קשר: TE נייח, AL נייד, FX פקס, EM דוא""ל, AH אתר אינטרנט","פקס, טלפון, דוא""ל וכו'",יש לקלוט,צריך
498,Consignment,3,30A,0..*,,,,,H,ספק,,Consignor,      Consignor,Declaration.Consignment.Consignor,כותרת פרטי שוגר,,"בימי ובאוורי- shipper
",,צריך
499,Consignment,4,R021 ,0..1,,הצעה-תו ראשון=סוג זיהוי (ערכים 1-3). ובהמשך זיהוי לפי אחד מהאפשרויות שהוגדרו בתו הראשון (מכס ישראל/זיהוי מקומי/DUNS NO ),זיהוי ספק -רשומה 8-סוג זיהוי ספק-פוז' 145-145 + זיהוי ספק פוז' 146+165,O,העתקה מלאה של השדות: רשומה 8-סוג זיהוי ספק-פוז' 145-145 + זיהוי ספק פוז' 146+165,זיהוי ספק,"Consignor, coded ",ID,         ID,Declaration.Consignment.Consignor.ID,זיהוי שוגר,זיהוי השוגר/ספק,"זיהוי הספק/שוגר לפי אחת מהאפשרויות הנ""ל:
ספק במכס בישראל (9 ספרות), או 
קוד זיהוי מקומי, או
D-U-N-S- NUMBER
לפי מה שנרשם בסודר  2009
",,צריך
500,Consignment,4,R020 ,0..1,,,שם שוגר-רשומה 8- פוז' 016-050,M,העתקה מלאה,שם שוגר,Consignor - name,Name,         Name,Declaration.Consignment.Consignor.Name,שם שוגר,,,,צריך
501,Consignment,4,04A,0..*,,,,M,H,כתובת שוגר,,Address,         Address,Declaration.Consignment.Consignor.Address,כותרת פרטי כתובת שוגר,,,יש לקלוט,צריך
502,Consignment,5,241 ,0..1,,,עיר השוגר-רשומה 8 -פוז' 081-100,C,העתקה מלאה-חובה במצהר מלא ,כתובת שוגר,City name,CityName,            CityName,Declaration.Consignment.Consignor.Address.CityName,שם עיר,,,יש לקלוט,צריך
503,Consignment,5,242 ,0..1,,,מדינת השוגר-רשומה 8 -פוז' 107-108,C,העתקה מלאה-חובה במצהר מלא ,כתובת שוגר,"Country, coded",CountryCode,            CountryCode,Declaration.Consignment.Consignor.Address.CountryCode,קוד מדינה,,,יש לקלוט,צריך
504,Consignment,5,244 ,0..1,,,,O,לא להסבה,כתובת שוגר,Country sub-entity identification,CountrySubDivisionID,            CountrySubDivisionID,Declaration.Consignment.Consignor.Address.CountrySubDivisionID,קוד תת מדינה,,,יש לקלוט,צריך
