DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Table,DecCargoSplitConsPackDets,DecCargoSplitConsPackDets,DBType,Main,
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Table,DecCargoSplitConsPackDets,DecCargoSplitConsPackDets,Schema,Customs,
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Column,PackageLine,PackageLine,Size,0,4
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Column,GrossMassMeasure,GrossMassMeasure,Precision,18,0
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Column,PackageTypeCode,PackageTypeCode,Size,4,2
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Relation,DeclarationCargoSplitId/DecCargoSplitConsLineNo/DecCargoSplitConsItemLine,DeclarationCargoSplitId/DecCargoSplitConsLineNo/DecCargoSplitConsItemLine,Referenced Table Schema,Customs,
DecCargoSplitConsPackDet.dxml,DecCargoSplitConsPackDet.lxml,Relation,PackageTypeCode,PackageTypeCode,Referenced Table Schema,Customs,
DecDangersContacts.dxml,DecDangersContacts.lxml,Table,DecDangersContacts,DecDangersContacts,DBType,Main,
DecDangersContacts.dxml,DecDangersContacts.lxml,Table,DecDangersContacts,DecDangersContacts,Schema,Customs,
DecDangersContacts.dxml,DecDangersContacts.lxml,Column,CompanyCommTypeCode,CompanyCommTypeCode,Size,2,3
DecDangersContacts.dxml,DecDangersContacts.lxml,Column,ContactCommTypeCode,ContactCommTypeCode,Size,2,3
DecDangersContacts.dxml,DecDangersContacts.lxml,Relation,CompanyCommTypeCode,CompanyCommTypeCode,Referenced Table Schema,Customs,
DecDangersContacts.dxml,DecDangersContacts.lxml,Relation,ContactCommTypeCode,ContactCommTypeCode,Referenced Table Schema,Customs,
DecisionType.dxml,DecisionType.lxml,Table,DecisionTypes,DecisionTypes,DBType,Main,
DecisionType.dxml,DecisionType.lxml,Table,DecisionTypes,DecisionTypes,Schema,Customs,
Declaration.dxml,Declaration.lxml,Column,StorageSiteCode,StorageSiteCode,Size,20,17
Declaration.dxml,Declaration.lxml,Column,PlatformFee,PlatformFee,Precision,18,0
Declaration.dxml,Declaration.lxml,Column,PlatformFee,PlatformFee,Scale,2,3
Declaration.dxml,Declaration.lxml,Column,AcceptanceStatusCode,AcceptanceStatusCode,Size,3,1
Declaration.dxml,Declaration.lxml,Column,AmendmentStatus,AmendmentStatus,Size,3,2
Declaration.dxml,Declaration.lxml,Column,IsDiamondDeclaration,IsDiamondDeclaration,Size,0,1
Declaration.dxml,Declaration.lxml,Column,IsMissMandatoryDiamond,IsMissMandatoryDiamond,Size,0,10
Declaration.dxml,Declaration.lxml,Column,IsValidTicketsDiamond,IsValidTicketsDiamond,Size,0,3
Declaration.dxml,Declaration.lxml,Relation,ImporterId,ImporterId,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,ProcedureCurrentCode,ProcedureCurrentCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,AutonomyRegionTypeCode,AutonomyRegionTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,ImporterPassCountryCode,ImporterPassCountryCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,TransferImporterId,TransferImporterId,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,TransferImporterCountryCode,TransferImporterCountryCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,EntitleImporterId,EntitleImporterId,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,ImporterEntitlementTypeCode,ImporterEntitlementTypeCode,Referenced Table Schema,Customs,
Declaration.dxml,Declaration.lxml,Relation,EntitleImporterCountryCode,EntitleImporterCountryCode,Referenced Table Schema,Customs,
