DXML Table, LXML Table
AccountingPartners,AccountingPartner,Incorrect Table Name In LXML File
IsSingleTaxPerInvoice,IsSingleTaxPerInvoice,Type,bit,
IsSingleTaxPerInvoice,IsSingleTaxPerInvoice,Size,0,1
IsTaxItemManaged,IsTaxItemManaged,Type,bit,
IsTaxItemManaged,IsTaxItemManaged,Size,0,1
Name,Name,Type,varchar,
SearchFields,SearchFields,Type,nvarchar,
SearchFields,SearchFields,Nullable,True,False
ShowDownloadScreen,ShowDownloadScreen,Type,bit,
ShowDownloadScreen,ShowDownloadScreen,Size,0,1


DXML Table, LXML Table
AdditionalServices,AdditionalServices
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
Id,Id,Type,varchar,
Id,Id,Size,15,100
InActive,InActive,Type,bit,
InActive,InActive,Size,0,15
Name,Name,Type,nvarchar,
SearchFields,SearchFields,Type,nvarchar,
SearchFields,SearchFields,Nullable,True,False


DXML Table, LXML Table
Addresses,Addresses
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
Address1,Address1,Type,nvarchar,
Address1,Address1,Nullable,True,False
Address2,Address2,Type,nvarchar,
Address2,Address2,Nullable,True,False
AddressTypeId,AddressTypeId,Type,varchar,
AddressTypeId,AddressTypeId,Size,15,0
ATTN,ATTN,Type,nvarchar,
ATTN,ATTN,Nullable,True,False
CardId,CardId,Type,varchar,
CardId,CardId,Nullable,True,False
City,City,Type,nvarchar,
City,City,Nullable,True,False
CountryId,CountryId,Type,varchar,
CountryId,CountryId,Nullable,True,False
Description,Description,Type,nvarchar,
ExternalId,ExternalId,Type,varchar,
ExternalId,ExternalId,Size,10,0
ExternalId,ExternalId,Nullable,True,False
FaxNumber,FaxNumber,Type,varchar,
FaxNumber,FaxNumber,Nullable,True,False
Id,Id,Type,varchar,
Id,Id,Size,15,0
InActive,InActive,Type,bit,
IsLocalLanguage,IsLocalLanguage,Type,bit,
Name,Name,Type,nvarchar,
PhoneNumber,PhoneNumber,Type,varchar,
PhoneNumber,PhoneNumber,Nullable,True,False
SearchFields,SearchFields,Type,nvarchar,
SearchFields,SearchFields,Nullable,True,False
StateId,StateId,Type,varchar,
StateId,StateId,Nullable,True,False
ZipCode,ZipCode,Type,varchar,
ZipCode,ZipCode,Nullable,True,False


DXML Table, LXML Table
Agents,Agents
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
AgentSharedLogisticsKey,AgentSharedLogisticsKey,Type,varchar,
AgentSharedLogisticsKey,AgentSharedLogisticsKey,Size,40,0
AgentSharedLogisticsKey,AgentSharedLogisticsKey,Nullable,True,False
BlockNewInvoiceCreation,BlockNewInvoiceCreation,Type,bit,
BlockNewInvoiceCreation,BlockNewInvoiceCreation,Size,0,1
BlockNewShipmentCreation,BlockNewShipmentCreation,Type,bit,
BlockNewShipmentCreation,BlockNewShipmentCreation,Size,0,1
CASSCode,CASSCode,Type,varchar,
CASSCode,CASSCode,Nullable,True,False
IATACode,IATACode,Type,varchar,
IATACode,IATACode,Nullable,True,False
Id,Id,Type,varchar,
Id,Id,Size,15,0
IsCreditLimitEnabled,IsCreditLimitEnabled,Type,bit,
IsCreditLimitEnabled,IsCreditLimitEnabled,Size,0,1
PrimaryContactEmail,PrimaryContactEmail,Type,varchar,
PrimaryContactEmail,PrimaryContactEmail,Nullable,True,False
PrimaryContactName,PrimaryContactName,Type,varchar,
PrimaryContactName,PrimaryContactName,Nullable,True,False
PrimaryContactPhone,PrimaryContactPhone,Type,varchar,
PrimaryContactPhone,PrimaryContactPhone,Nullable,True,False
RegulatedAgentCode,RegulatedAgentCode,Type,varchar,
RegulatedAgentCode,RegulatedAgentCode,Nullable,True,False


DXML Table, LXML Table
Airlines,Airlines
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
AccountNumber,AccountNumber,Type,varchar,
AccountNumber,AccountNumber,Nullable,True,False
AddedManually,AddedManually,Type,bit,
AddedManually,AddedManually,Size,0,15
AWBAccount,AWBAccount,Type,varchar,
AWBAccount,AWBAccount,Nullable,True,False
ChampFFRFFA,ChampFFRFFA,Type,bit,
ChampFFRFFA,ChampFFRFFA,Size,0,1
ChampFHL,ChampFHL,Type,bit,
ChampFHL,ChampFHL,Size,0,1
ChampFSRFSA,ChampFSRFSA,Type,bit,
ChampFSRFSA,ChampFSRFSA,Size,0,1
ChampFSU,ChampFSU,Type,bit,
ChampFSU,ChampFSU,Size,0,1
ChampFVRFVA,ChampFVRFVA,Type,bit,
ChampFVRFVA,ChampFVRFVA,Size,0,1
ChampFWB,ChampFWB,Type,bit,
ChampFWB,ChampFWB,Size,0,1
ChampNeedsRegistration,ChampNeedsRegistration,Type,bit,
ChampNeedsRegistration,ChampNeedsRegistration,Size,0,1
ChampRegistrationRequested,ChampRegistrationRequested,Type,bit,
ChampRegistrationRequested,ChampRegistrationRequested,Size,0,1
CheckDigit,CheckDigit,Type,bit,
CheckDigit,CheckDigit,Size,0,15
DeclineNotes,DeclineNotes,Type,nvarchar,
DeclineNotes,DeclineNotes,Nullable,True,False
GLSHKFFRFFA,GLSHKFFRFFA,Type,bit,
GLSHKFFRFFA,GLSHKFFRFFA,Size,0,1
GLSHKFHL,GLSHKFHL,Type,bit,
GLSHKFHL,GLSHKFHL,Size,0,1
GLSHKFSRFSA,GLSHKFSRFSA,Type,bit,
GLSHKFSRFSA,GLSHKFSRFSA,Size,0,1
GLSHKFSU,GLSHKFSU,Type,bit,
GLSHKFSU,GLSHKFSU,Size,0,1
GLSHKFVRFVA,GLSHKFVRFVA,Type,bit,
GLSHKFVRFVA,GLSHKFVRFVA,Size,0,1
GLSHKFWB,GLSHKFWB,Type,bit,
GLSHKFWB,GLSHKFWB,Size,0,1
GLSHKNeedsRegistration,GLSHKNeedsRegistration,Type,bit,
